"long","lat","order","hole","piece","group","id","country"
-121.37967129,47.08676581,1,FALSE,"1","p1.1","p1","USA"
-121.45539728,46.78373381,2,FALSE,"1","p1.1","p1","USA"
-123.16058627,46.7934338,3,FALSE,"1","p1.1","p1","USA"
-122.96341292,47.10059369,4,FALSE,"1","p1.1","p1","USA"
-122.68517736,47.17981914,5,FALSE,"1","p1.1","p1","USA"
-122.86704518,47.27478749,6,FALSE,"1","p1.1","p1","USA"
-122.78423445,47.59784767,7,FALSE,"1","p1.1","p1","USA"
-122.49636895,47.55331513,8,FALSE,"1","p1.1","p1","USA"
-122.35473749,47.3425193,9,FALSE,"1","p1.1","p1","USA"
-122.1502823,48.0174158,10,FALSE,"1","p1.1","p1","USA"
-122.54743152,48.09758612,11,FALSE,"1","p1.1","p1","USA"
-122.3743293,48.2976258,12,FALSE,"1","p1.1","p1","USA"
-122.60716462,48.56913007,13,FALSE,"1","p1.1","p1","USA"
-122.78976901,48.97597378,14,FALSE,"1","p1.1","p1","USA"
-121.94630098,49.00051955,15,FALSE,"1","p1.1","p1","USA"
-120.85048853,48.99984521,16,FALSE,"1","p1.1","p1","USA"
-120.70155831,48.53161981,17,FALSE,"1","p1.1","p1","USA"
-119.87012431,47.96015682,18,FALSE,"1","p1.1","p1","USA"
-120.3167793,47.47057381,19,FALSE,"1","p1.1","p1","USA"
-120.0315663,47.09825282,20,FALSE,"1","p1.1","p1","USA"
-119.92353779,46.68287882,21,FALSE,"1","p1.1","p1","USA"
-121.37967129,47.08676581,22,FALSE,"1","p1.1","p1","USA"
-117.55278766,33.44581888,1,FALSE,"1","p10.1","p10","USA"
-119.26915516,34.25020086,2,FALSE,"1","p10.1","p10","USA"
-119.47665416,34.37319586,3,FALSE,"1","p10.1","p10","USA"
-119.44235316,34.90127386,4,FALSE,"1","p10.1","p10","USA"
-120.19391917,35.61435885,5,FALSE,"1","p10.1","p10","USA"
-120.19414617,35.78920385,6,FALSE,"1","p10.1","p10","USA"
-119.53811617,35.78956785,7,FALSE,"1","p10.1","p10","USA"
-119.57282118,36.48885385,8,FALSE,"1","p10.1","p10","USA"
-118.36058719,36.74477286,9,FALSE,"1","p10.1","p10","USA"
-119.6392052,38.32687984,10,FALSE,"1","p10.1","p10","USA"
-119.5854372,38.71321284,11,FALSE,"1","p10.1","p10","USA"
-119.1569782,38.41474685,12,FALSE,"1","p10.1","p10","USA"
-118.4281452,37.89621985,13,FALSE,"1","p10.1","p10","USA"
-117.1660022,36.97111186,14,FALSE,"1","p10.1","p10","USA"
-115.89835719,36.00417988,15,FALSE,"1","p10.1","p10","USA"
-115.64720319,35.80899588,16,FALSE,"1","p10.1","p10","USA"
-114.63301319,35.00208589,17,FALSE,"1","p10.1","p10","USA"
-114.13828319,34.30323089,18,FALSE,"1","p10.1","p10","USA"
-114.62712518,33.43355389,19,FALSE,"1","p10.1","p10","USA"
-114.46897117,32.8451559,20,FALSE,"1","p10.1","p10","USA"
-114.77702917,32.60376561,21,FALSE,"1","p10.1","p10","USA"
-116.10605115,32.61687524,22,FALSE,"1","p10.1","p10","USA"
-116.08516517,33.42593288,23,FALSE,"1","p10.1","p10","USA"
-117.55278766,33.44581888,24,FALSE,"1","p10.1","p10","USA"
-78.23161134,38.53221807,1,FALSE,"1","p100.1","p100","USA"
-78.09406834,38.31136407,2,FALSE,"1","p100.1","p100","USA"
-78.36979634,38.18475707,3,FALSE,"1","p100.1","p100","USA"
-78.66317534,38.27792307,4,FALSE,"1","p100.1","p100","USA"
-78.30054434,38.94353107,5,FALSE,"1","p100.1","p100","USA"
-78.54409035,39.05665307,6,FALSE,"1","p100.1","p100","USA"
-78.22876735,39.39123307,7,FALSE,"1","p100.1","p100","USA"
-77.82815735,39.13232907,8,FALSE,"1","p100.1","p100","USA"
