i,n,st,rto,r,rnew,censusregions,in,country,custreg
1,p2,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
2,p1,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
3,p1,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
4,p1,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
5,p2,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
6,p3,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
7,p4,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
8,p3,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
9,p2,WA,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
10,p5,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
11,p5,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
12,p5,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
14,p6,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
15,p6,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
16,p5,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
17,p5,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
18,p7,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
19,p7,OR,rto1,nr11,nr1new,PA,WSCC,USA,Pacific
20,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
21,p8,CA,rto2,nr13,nr1new,PA,WSCC,USA,Pacific
22,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
23,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
24,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
25,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
26,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
27,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
28,p10,CA,rto4,nr13,nr5new,PA,WSCC,USA,Pacific
29,p9,CA,rto4,nr13,nr4new,PA,WSCC,USA,Pacific
30,p10,CA,rto4,nr13,nr5new,PA,WSCC,USA,Pacific
31,p10,CA,rto4,nr13,nr5new,PA,WSCC,USA,Pacific
32,p11,CA,rto4,nr13,nr5new,PA,WSCC,USA,Pacific
33,p10,CA,rto4,nr13,nr5new,PA,WSCC,USA,Pacific
34,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
35,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
36,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
37,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
38,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
39,p12,NV,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
40,p13,NV,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
41,p14,ID,rto1,nr11,nr1new,MTN,WSCC,USA,Mountain
42,p15,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
43,p15,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
44,p15,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
45,p15,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
46,p16,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
47,p16,ID,rto1,nr11,nr2new,MTN,WSCC,USA,Mountain
48,p25,UT,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
49,p25,UT,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
50,p26,UT,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
51,p25,UT,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
52,p25,UT,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
53,p27,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
54,p28,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
55,p29,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
56,p28,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
57,p28,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
58,p30,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
59,p28,AZ,rto3,nr12,nr7new,MTN,WSCC,USA,Mountain
60,p17,MT,rto1,nr11,nr1new,MTN,WSCC,USA,Mountain
61,p17,MT,rto1,nr11,nr1new,MTN,WSCC,USA,Mountain
62,p17,MT,rto1,nr11,nr1new,MTN,WSCC,USA,Mountain
63,p17,MT,rto1,nr11,nr1new,MTN,WSCC,USA,Mountain
64,p18,MT,rto2,nr11,nr1new,MTN,WSCC,USA,Mountain
65,p18,MT,rto2,nr11,nr1new,MTN,WSCC,USA,Mountain
66,p20,MT,rto2,nr11,nr1new,MTN,WSCC,USA,Mountain
67,p18,MT,rto2,nr11,nr1new,MTN,WSCC,USA,Mountain
68,p19,MT,rto2,nr11,nr9new,MTN,WSCC,USA,Mountain
69,p20,MT,rto2,nr11,nr1new,MTN,WSCC,USA,Mountain
70,p21,WY,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
71,p21,WY,rto2,nr11,nr2new,MTN,WSCC,USA,Mountain
72,p22,WY,rto2,nr11,nr3new,MTN,WSCC,USA,Mountain
73,p23,WY,rto5,nr11,nr3new,MTN,WSCC,USA,Mountain
74,p24,WY,rto5,nr11,nr3new,MTN,WSCC,USA,Mountain
75,p33,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
76,p33,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
77,p34,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
78,p34,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
79,p33,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
80,p33,CO,rto5,nr12,nr3new,MTN,WSCC,USA,Mountain
