i,n,st,rto,r,rnew,censusregions,nems,in,country,custreg
1,p2,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
2,p1,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
3,p1,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
4,p1,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
5,p2,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
6,p3,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
7,p4,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
8,p3,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
9,p2,wa,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
10,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
11,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
12,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
14,p6,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
15,p6,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
16,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
17,p5,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
18,p7,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
19,p7,or,rto1,nr11,nr1new,pa,nems21,wscc,usa,Pacific
20,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
21,p8,ca,rto2,nr13,nr1new,pa,nems21,wscc,usa,Pacific
22,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
23,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
24,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
25,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
26,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
27,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
28,p10,ca,rto4,nr13,nr5new,pa,nems20,wscc,usa,Pacific
29,p9,ca,rto4,nr13,nr4new,pa,nems20,wscc,usa,Pacific
30,p10,ca,rto4,nr13,nr5new,pa,nems20,wscc,usa,Pacific
31,p10,ca,rto4,nr13,nr5new,pa,nems20,wscc,usa,Pacific
32,p11,ca,rto4,nr13,nr5new,pa,nems20,wscc,usa,Pacific
33,p10,ca,rto4,nr13,nr5new,pa,nems20,wscc,usa,Pacific
34,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
35,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
36,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
37,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
38,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
39,p12,nv,rto2,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
40,p13,nv,rto3,nr12,nr7new,mtn,nems19,wscc,usa,Mountain
41,p14,id,rto1,nr11,nr1new,mtn,nems21,wscc,usa,Mountain
42,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
43,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
44,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
45,p15,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
46,p16,id,rto1,nr11,nr2new,mtn,nems21,wscc,usa,Mountain
