cost_cat,type
inv_investment_capacity_costs,Capital
inv_PTC_Payments_negative,Capital
inv_investment_spurline_costs_rsc_technologies,Capital
inv_investment_refurbishment_capacity,Capital
inv_PTC_payments_negative_refurbishments,Capital
inv_transmission_line_investment,Capital
inv_substation_investment_costs,Capital
inv_interconnection_costs,Capital
inv_pumpedhydro_investment,Capital
inv_geothermal_investment,Capital
op_vom_costs,Operation
op_operating_reserve_costs,Operation
op_fuelcosts_objfn,Operation
op_fom_costs,Operation
op_international_hurdle_rate,Operation
op_acp_compliance_costs,Operation
